Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
GOLAR LNG PARTNERS LP,2011-04-08,NASDAQ,270000000,22.5,12000000,GMLP,0.060416708,0.018750042,0.034583333,0.200833333
ZIPCAR INC,2011-04-14,NASDAQ,174313962,18,9684109,ZIP,-0.075,-0.049666667,-0.122333333,-0.246666667
ELLIE MAE INC,2011-04-15,American Stock Exchange,45000000,6,7500000,ELLI,0.121666667,0.25,0.17,-0.078333333
AIR LEASE CORP,2011-04-19,New York Stock Exchange,802500030,26.5,30283020,AL,0.029724734,0.053211046,0.051376147,-0.089908294
RESPONSYS INC,2011-04-21,NASDAQ,79435848,12,6619654,MKTG,-0.055,0.01125,-0.045625,0.010625
"21VIANET GROUP, INC.",2011-04-21,NASDAQ,195000000,15,13000000,VNET,-0.042448174,-0.212734452,-0.34106614,-0.289239882
RENREN INC.,2011-05-04,New York Stock Exchange,743400000,14,53100000,RENN,-0.068205128,-0.253846154,-0.354358974,-0.46974359
BOINGO WIRELESS INC,2011-05-04,NASDAQ,77895000,13.5,5770000,WIFI,-0.06,-0.068,-0.2432,-0.2936
KOSMOS ENERGY LTD.,2011-05-11,New York Stock Exchange,594000000,18,33000000,KOS,-0.064615385,-0.080512821,-0.068205128,-0.297948718
RLJ LODGING TRUST,2011-05-11,New York Stock Exchange,495000000,18,27500000,RLJ,0.011594261,0.042898551,0.051594145,-0.125217391
"SPIRIT AIRLINES, INC.",2011-05-26,NASDAQ,187200000,12,15600000,SAVE,0.013215859,0.036123348,0.05814978,-0.051982379
"PANDORA MEDIA, INC.",2011-06-15,New York Stock Exchange,234944000,16,14684000,P,-0.1505,-0.2965,-0.09399995,-0.4425
"SUNCOKE ENERGY, INC.",2011-07-21,New York Stock Exchange,185600000,16,11600000,SXC,0.007058882,0.014117647,-0.147647059,-0.323529412
FRANCESCA'S HOLDINGS CORP,2011-07-22,NASDAQ,170000000,17,10000000,FRAN,0.167391304,0.121304391,-0.03434787,-0.009565174
"DUNKIN' BRANDS GROUP, INC.",2011-07-27,NASDAQ,422750000,19,22250000,DNKN,0.16839996,0.1,0.034,0.0996
"CHEFS' WAREHOUSE, INC.",2011-07-28,NASDAQ,135000000,15,9000000,CHEF,0.001764765,0.064705882,-0.046470647,-0.22
CARBONITE INC,2011-08-11,NASDAQ,62500000,10,6250000,CARB,0.236111111,0.406481481,0.162962963,0.160185185
SANDRIDGE ENERGY INC,2011-08-11,New York Stock Exchange,540000000,18,30000000,PER,0.001111111,0.033888944,0.033333333,0.105555556
TUDOU HOLDINGS LTD,2011-08-17,NASDAQ,174000000,29,6000000,TUDO,-0.004380764,-0.074074111,-0.078056588,-0.425328577
TEUCRIUM COMMODITY TRUST,2011-09-19,New York Stock Exchange,250000000,25,10000000,CANE,0.006371923,-0.0673039,0.042214216,-0.080844322
TEUCRIUM COMMODITY TRUST,2011-09-19,New York Stock Exchange,250000000,25,10000000,SOYB,0.017922648,-0.050101794,-0.071283099,-0.160896096
TEUCRIUM COMMODITY TRUST,2011-09-19,New York Stock Exchange,250000000,25,10000000,WEAT,0.004477004,-0.058201099,-0.067969068,-0.149369149
ENDURO RESOURCE PARTNERS LLC,2011-11-03,New York Stock Exchange,290400000,22,13200000,NDRO,-0.022528736,-0.114022989,-0.155862023,-0.058390805
"GROUPON, INC.",2011-11-04,NASDAQ,700000000,20,35000000,GRPN,-0.019999964,-0.108571464,-0.306428571,-0.225357107
"CLOVIS ONCOLOGY, INC.",2011-11-16,NASDAQ,130000000,13,10000000,CLVS,-0.037547893,-0.03908046,-0.049042146,0.731800766
"ANGIE'S LIST, INC.",2011-11-17,NASDAQ,114314304,13,8793408,ANGI,-0.097222222,-0.218333333,-0.073888889,-0.132222222
APTIV PLC,2011-11-17,New York Stock Exchange,529734194,22,24078827,DLPH,0.004705882,-0.080000047,-0.013647106,0.376
INTERMOLECULAR INC,2011-11-18,NASDAQ,96500000,10,9650000,IMI,-0.05,-0.043,-0.095,-0.187
"BONANZA CREEK ENERGY, INC.",2011-12-15,New York Stock Exchange,170000000,17,10000000,BCEI,-0.087741914,-0.118709665,-0.074838743,0.25032257
MICHAEL KORS HOLDINGS LTD,2011-12-15,New York Stock Exchange,944000000,20,47200000,KORS,-0.02199996,0.05800004,0.07120004,0.95600008
"LAREDO PETROLEUM, INC.",2011-12-15,New York Stock Exchange,297500000,17,17500000,LPI,0.048695652,0.162318783,0.219130493,0.367536232
"MID-CON ENERGY PARTNERS, LP",2011-12-15,NASDAQ,97200000,18,5400000,MCEP,0.014084507,0.044507099,0.098591549,0.375774648
ZYNGA INC,2011-12-16,NASDAQ,1000000000,10,100000000,ZNGA,-0.136363636,-0.142727273,-0.163636364,0.21
"VERASTEM, INC.",2012-01-27,NASDAQ,55000000,10,5500000,VSTM,-0.034545455,0.004545455,0.074545455,-0.110909091
"U.S. SILICA HOLDINGS, INC.",2012-02-01,New York Stock Exchange,199999985,17,11764705,SLCA,-0.072463768,-0.002898493,-0.017970957,0.037681159
CAESARS ENTERTAINMENT CORP,2012-02-08,NASDAQ,16301817,9,1811313,CZR,0.675496689,0.410596026,0.240618102,0.543046358
"HOMESTREET, INC.",2012-02-10,NASDAQ,83443448,44,1896442,HMST,0.027446809,0.066170213,0.142553191,0.451489362
BRIGHTCOVE INC,2012-02-17,NASDAQ,55000000,11,5000000,BCOV,-0.002068966,0.04137931,0.517241379,-0.003448276
PROTO LABS INC,2012-02-24,New York Stock Exchange,68800000,16,4300000,PRLB,0.156,0.2092,0.29160004,0.25879996
NATIONSTAR MORTGAGE HOLDINGS INC.,2012-03-08,New York Stock Exchange,233333338,14,16666667,NSM,0.04642594,0.018422992,0.050110538,0.397936551
ALLISON TRANSMISSION HOLDINGS INC,2012-03-15,New York Stock Exchange,600300000,23,26100000,ALSN,0.02826087,0.05,-0.052173957,-0.155652174
CAESARSTONE LTD.,2012-03-22,NASDAQ,73260000,11,6660000,CSTE,0.004549591,0.082802548,0.128298453,0.070063694
REGIONAL MANAGEMENT CORP.,2012-03-28,New York Stock Exchange,63000000,15,4200000,RM,-0.038235294,-0.020588235,-0.041176529,-0.098235294
TEUCRIUM COMMODITY TRUST,2012-03-28,New York Stock Exchange,250000000,50,5000000,TAGS,-0.012892808,0.012892829,-0.028605923,-0.020749356
"VOCERA COMMUNICATIONS, INC.",2012-03-28,New York Stock Exchange,93600000,16,5850000,VCRA,-0.139166667,-0.102083375,-0.119999958,0.041666667
MERRIMACK PHARMACEUTICALS INC,2012-03-29,NASDAQ,100100000,7,14300000,MACK,-0.038400032,-0.032,0.139199952,0.100800048
CAFEPRESS INC.,2012-03-29,NASDAQ,85500000,19,4500000,PRSS,-0.11627907,-0.153488326,-0.208837209,-0.338604651
REXNORD CORP,2012-03-29,New York Stock Exchange,426315798,18,23684211,RXN,0.060367562,0.136482999,0.074015752,0.008398951
"ENPHASE ENERGY, INC.",2012-03-30,NASDAQ,53818182,6,8969697,ENPH,0.02,0.052,-0.04,-0.158666667
GASLOG LTD.,2012-03-30,New York Stock Exchange,329000000,14,23500000,GLOG,0.0032,-0.0936,-0.0632,-0.2112
"FORUM ENERGY TECHNOLOGIES, INC.",2012-04-12,New York Stock Exchange,378947320,20,18947366,FET,-0.0244444,-0.026666667,-0.021777778,-0.112444489
MRC GLOBAL INC.,2012-04-12,New York Stock Exchange,477272733,21,22727273,MRC,0.024390244,0.004878049,0.004878049,0.06
"OAKTREE CAPITAL GROUP, LLC",2012-04-12,New York Stock Exchange,380249989,43,8843023,OAK,0.031463439,-0.02682922,0.012438976,-0.10853661
SANDRIDGE ENERGY INC,2012-04-18,New York Stock Exchange,546000000,21,26000000,SDR,-0.01146789,0.01146789,-0.036697204,-0.07889904
SPLUNK INC,2012-04-19,NASDAQ,229500000,17,13500000,SPLK,0.1015625,0.0809375,-0.027812469,-0.123437531
"MIDSTATES PETROLEUM COMPANY, INC.",2012-04-20,New York Stock Exchange,312000000,13,24000000,MPO,0.116981132,0.204528347,0.09886797,-0.197735826
PROOFPOINT INC,2012-04-20,NASDAQ,82282473,13,6329421,PFPT,-0.170326409,-0.190504451,-0.218397626,-0.109198813
SUPERNUS PHARMACEUTICALS INC,2012-05-01,NASDAQ,50000000,5,10000000,SUPN,-0.153846154,-0.030769231,-0.069230769,0.967692308
"TILLY'S, INC.",2012-05-04,New York Stock Exchange,124000000,15.5,8000000,TLYS,-0.114361655,-0.084574473,-0.198936128,-0.118085059
EDWARDS GROUP LTD,2012-05-11,NASDAQ,100000000,8,12500000,EVAC,0.061957869,-0.034696406,-0.071871128,-0.147459727
"EQT MIDSTREAM PARTNERS, LP",2012-06-27,New York Stock Exchange,262500000,21,12500000,EQM,0.02173913,0.043478261,0.169130391,0.310869565
"SERVICENOW, INC.",2012-06-29,New York Stock Exchange,209700000,18,11650000,NOW,0.042105263,0.093052589,0.063157895,0.722105347
"FS BANCORP, INC.",2012-07-10,NASDAQ,28175000,10,2817500,FSBW,-0.014634146,-0.015609756,0.003902439,0.049756098
KAYAK SOFTWARE CORP,2012-07-20,NASDAQ,91000000,26,3500000,KYAK,0.098338904,0.094352126,-0.102990033,0.035880399
PALO ALTO NETWORKS INC,2012-07-20,New York Stock Exchange,260400000,42,6200000,PANW,-0.046237605,0.103898437,0.216681697,0.144333612
"CHUY'S HOLDINGS, INC.",2012-07-24,NASDAQ,75833329,13,5833333,CHUY,0.01,0.178666667,0.148666667,0.603999933
"NATURAL GROCERS BY VITAMIN COTTAGE, INC.",2012-07-25,New York Stock Exchange,107142855,15,7142857,NGVC,0.052777833,0.127777722,0.026666667,0.221666667
GLOBUS MEDICAL INC,2012-08-03,New York Stock Exchange,99999996,12,8333333,GMED,0.039694656,0.026717557,0.190839695,0.267939008
"BLOOMIN' BRANDS, INC.",2012-08-08,NASDAQ,176000000,11,16000000,BLMN,0.080172414,0.120689655,0.220689655,0.16637931
MANCHESTER UNITED PLC,2012-08-10,New York Stock Exchange,233333338,14,16666667,MANU,-0.00569395,-0.016370107,-0.11316726,-0.100355872
PERFORMANT FINANCIAL CORP,2012-08-10,NASDAQ,81000000,9,9000000,PFMT,0.128648649,0.113513514,0.204324324,0.097297297
HI-CRUSH PARTNERS LP,2012-08-16,New York Stock Exchange,191250000,17,11250000,HCLP,0.163529471,0.132352941,0.285294118,-0.058823529
NATIONAL BANK HOLDINGS CORP,2012-09-20,New York Stock Exchange,137637500,19.25,7150000,NBHC,-0.041975309,-0.038518568,-0.032592593,-0.084444395
"SANTANDER MEXICO FINANCIAL GROUP, S.A.B. DE C.V.",2012-09-26,New York Stock Exchange,2901667721,12.18,238232161,BSMX,0.031746032,0.073015873,0.095238095,0.275396825
"QUALYS, INC.",2012-09-28,NASDAQ,90900000,12,7575000,QLYS,0.2075,0.133333333,0.210833333,0.101666667
BERRY GLOBAL GROUP INC,2012-10-04,New York Stock Exchange,470588224,16,29411764,BERY,0.005901639,-0.07147541,-0.073442623,0.06163941
AMBARELLA INC,2012-10-10,NASDAQ,36000000,6,6000000,AMBA,-0.096870343,-0.105812221,0.165424739,0.813710879
"INTERCEPT PHARMACEUTICALS, INC.",2012-10-11,NASDAQ,75000000,15,5000000,ICPT,-0.020103093,0.009278351,0.072680361,0.762886649
REALOGY HOLDINGS CORP.,2012-10-11,New York Stock Exchange,1080000000,27,40000000,RLGY,0.035007673,0.141552581,0.128158394,0.306849395
"SHUTTERSTOCK, INC.",2012-10-11,New York Stock Exchange,76500000,17,4500000,SSTK,-0.044444444,0.025777778,0.06,0.187111067
"WORKDAY, INC.",2012-10-12,New York Stock Exchange,637000000,28,22750000,WDAY,0.014360104,0.089073946,-0.038293445,0.106763811
SEADRILL PARTNERS LLC,2012-10-19,New York Stock Exchange,192500000,22,8750000,SDLP,0.0175,0.004166667,0.007916708,0.150416708
MPLX LP,2012-10-26,New York Stock Exchange,380600000,22,17300000,MPLX,0.062745098,0.039215686,0.065882353,0.301960824
"DELEK LOGISTICS PARTNERS, LP",2012-11-02,New York Stock Exchange,168000000,21,8000000,DKL,-0.028559064,-0.0415405,-0.009952488,0.10255296
RH,2012-11-02,New York Stock Exchange,123943968,24,5164332,RH,-0.026833012,0.014664618,0.166926776,0.137285558
"WHEELER REAL ESTATE INVESTMENT TRUST, INC.",2012-11-19,NASDAQ,21000000,5.25,4000000,WHLR,-0.00160004,-0.04160004,-0.06720002,-0.02816002
PBF ENERGY INC.,2012-12-13,New York Stock Exchange,533000000,26,20500000,PBF,-0.0625,-0.021428571,0.005357143,0.372857107
SPROTT PHYSICAL PLATINUM & PALLADIUM TRUST,2012-12-19,New York Stock Exchange,280000000,10,28000000,SPPP,0.035864979,0.025316456,0.053797468,0.037974684
"USA COMPRESSION PARTNERS, LP",2013-01-15,New York Stock Exchange,198000000,18,11000000,USAC,0.011428629,0.025142914,0.061142857,0.137714286
"CVR REFINING, LP",2013-01-17,New York Stock Exchange,600000000,25,24000000,CVRR,0.003564356,0.019405941,0.231683168,0.227722772
NORWEGIAN CRUISE LINE HOLDINGS LTD.,2013-01-18,NASDAQ,447058828,19,23529412,NCLH,-0.003984064,0.110756932,0.213944183,0.193227131
"SUNCOKE ENERGY PARTNERS, L.P.",2013-01-18,New York Stock Exchange,256500000,19,13500000,SXCP,-0.039473684,0.013157895,0.071579,0.078947368
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,2013-01-25,New York Stock Exchange,222200000,22,10100000,BFAM,0.024144144,0.016216252,0.02594591,0.166846883
GLADSTONE LAND CORP,2013-01-29,NASDAQ,50000010,15,3333334,LAND,-0.01055409,-0.01055409,-0.025725594,0.12401062
STEMLINE THERAPEUTICS INC,2013-01-29,NASDAQ,33176440,10,3317644,STML,0.070909091,-0.048181818,0.081818182,0.200909091
"TRI POINTE GROUP, INC.",2013-01-31,New York Stock Exchange,232713000,17,13689000,TPH,-0.01584862,-0.079754554,-0.067484615,0.010225001
ZOETIS INC.,2013-02-01,New York Stock Exchange,2238600000,26,86100000,ZTS,-0.013015873,0.025714317,0.104761873,0.069206349
BOISE CASCADE CO,2013-02-06,New York Stock Exchange,247058826,21,11764706,BCC,0.031839582,0.090801844,0.126179201,0.233490478
"ATLAS FINANCIAL HOLDINGS, INC.",2013-02-12,NASDAQ,24131250,5.85,4125000,AFH,0.001709402,0.015384615,0.194871795,0.246153846
"ORCHID ISLAND CAPITAL, INC.",2013-02-14,American Stock Exchange,35400000,15,2360000,ORC,0.006849315,0.004109589,-0.013013699,-0.071917808
ARTISAN PARTNERS ASSET MANAGEMENT INC.,2013-03-07,New York Stock Exchange,331624680,30,11054156,APAM,0.093465935,0.059090851,0.102272668,0.327840928
"MODEL N, INC.",2013-03-20,New York Stock Exchange,104470000,15.5,6740000,MODN,-0.015763498,-0.014778277,-0.012315272,0.027586307
TETRAPHASE PHARMACEUTICALS INC,2013-03-20,NASDAQ,75000002,7,10714286,TTPH,-0.015277778,-0.023611111,0.270833333,0.095833333
ENANTA PHARMACEUTICALS INC,2013-03-21,NASDAQ,56000000,14,4000000,ENTA,0.210889042,0.170227429,0.433494073,0.163335562
MARIN SOFTWARE INC,2013-03-22,New York Stock Exchange,105000000,14,7500000,MRIN,-0.123684188,-0.147894722,-0.216315767,-0.454210556
PINNACLE FOODS INC.,2013-03-28,New York Stock Exchange,580000000,20,29000000,PF,0.005840027,0.072327089,0.060197664,0.106019811
"CANCER GENETICS, INC",2013-04-05,OTCBB,6000000,10,600000,CGIX,0.14,0.2,0.155,-0.004
KNOT OFFSHORE PARTNERS LP,2013-04-10,New York Stock Exchange,156450000,21,7450000,KNOP,-0.054347826,-0.039130435,0.012173957,-0.013043435
TAYLOR MORRISON HOME CORP,2013-04-10,New York Stock Exchange,628584000,22,28572000,TMHC,0.006423983,0.005995717,0.143468994,0.071520343
CHIMERIX INC,2013-04-11,NASDAQ,102480000,14,7320000,CMRX,0.189564069,0.235138771,0.354029062,0.615587781
"EVERTEC, INC.",2013-04-12,New York Stock Exchange,505263180,20,25263159,EVTC,-0.068649886,-0.100686499,-0.072311213,0.037528604
"SEAWORLD ENTERTAINMENT, INC.",2013-04-19,New York Stock Exchange,702000000,27,26000000,SEAS,0.102094277,0.077552391,0.23069379,0.272251383
ELLINGTON RESIDENTIAL MORTGAGE REIT,2013-05-01,New York Stock Exchange,129000000,20,6450000,EARN,0.011052579,0.025263158,0.005263158,-0.192631579
QIWI,2013-05-03,NASDAQ,212500000,17,12500000,QIWI,0.010588235,-0.016470647,-0.005882353,0.654705824
EMERGE ENERGY SERVICES LP,2013-05-09,New York Stock Exchange,127500000,17,7500000,EMES,-0.020710118,-0.008284024,0.211242544,0.43964497
"PENNYMAC FINANCIAL SERVICES, INC.",2013-05-09,New York Stock Exchange,199999998,18,11111111,PFSI,0.044931507,0.08109589,0.152328822,0.075616384
"TALLGRASS ENERGY PARTNERS, LP",2013-05-14,New York Stock Exchange,280575000,21.5,13050000,TEP,-0.018181818,0.013636318,-0.034090909,0.025909091
TABLEAU SOFTWARE INC,2013-05-17,New York Stock Exchange,254200000,31,8200000,DATA,0.093617064,0.129787191,0.186170213,0.558723447
PORTOLA PHARMACEUTICALS INC,2013-05-22,NASDAQ,122129991,14.5,8422758,PTLA,-0.016393443,0.151475344,0.363934361,0.428196787
"GLOBAL BRASS & COPPER HOLDINGS, INC.",2013-05-23,New York Stock Exchange,77000000,11,7000000,BRSS,0.154893617,0.131914894,0.14893617,0.672340426
CONSTELLIUM N.V.,2013-05-23,New York Stock Exchange,333333330,15,22222222,CSTM,0.106666667,0.088888889,0.151111111,0.32
CHANNELADVISOR CORP,2013-05-23,New York Stock Exchange,80500000,14,5750000,ECOM,0.072727216,-0.034090909,-0.114772727,0.715909148
"LIGHTINTHEBOX HOLDING CO., LTD.",2013-06-06,New York Stock Exchange,78850000,9.5,8300000,LITB,0.07078853,0.247311828,0.229390681,-0.088709677
"PTC THERAPEUTICS, INC.",2013-06-20,NASDAQ,125580000,15,8372000,PTCT,0.060126582,0.018987342,0.125316519,0.356329114
GOGO INC.,2013-06-21,NASDAQ,187000000,17,11000000,GOGO,-0.036875,-0.11375,-0.18625,-0.04875
"LUXOFT HOLDING, INC",2013-06-26,New York Stock Exchange,69565190,17,4092070,LXFT,0.090566097,0.107277742,0.142857258,0.392991989
NANOSTRING TECHNOLOGIES INC,2013-06-26,NASDAQ,54000000,10,5400000,NSTG,-0.186868687,-0.139393939,-0.039393939,0.092929293
"HD SUPPLY HOLDINGS, INC.",2013-06-27,NASDAQ,957446802,18,53191489,HDS,0.036111111,0.081111056,0.192777722,0.262222167
"ARATANA THERAPEUTICS, INC.",2013-06-27,NASDAQ,34500000,6,5750000,PETX,0.211428571,0.247142857,0.467142857,1.128571429
SILVERCREST ASSET MANAGEMENT GROUP INC.,2013-06-27,NASDAQ,52697524,11,4790684,SAMG,0.030701754,0.028070175,0.256140351,0.126315789
NOODLES & CO,2013-06-28,NASDAQ,96428574,18,5357143,NDLS,0.2103125,0.34375,0.352499969,0.356250063
"NRG YIELD, INC.",2013-07-17,New York Stock Exchange,430650000,22,19575000,NYLD,0.022056075,0.033270991,0.046728972,0.193271028
ONCOMED PHARMACEUTICALS INC,2013-07-18,NASDAQ,81600000,17,4800000,OMED,-0.044483986,-0.169039146,-0.344839858,-0.482562278
PHYSICIANS REALTY TRUST,2013-07-19,New York Stock Exchange,119999993,11.5,10434782,DOC,0.004347826,0.014782609,0.019130435,0.104347826
"REXFORD INDUSTRIAL REALTY, INC.",2013-07-19,New York Stock Exchange,224000000,14,16000000,REXR,-0.050847458,-0.051525424,-0.071186441,-0.091525424
PHILLIPS 66 PARTNERS LP,2013-07-23,New York Stock Exchange,377775000,23,16425000,PSXP,0.034506556,0.138716356,0.065907488,0.074879227
GRANA & MONTERO S.A.A.,2013-07-24,New York Stock Exchange,412772099,21.13,19534884,GRAM,-0.010304496,-0.021077283,-0.034660375,-0.083840796
"HEAT BIOLOGICS, INC.",2013-07-24,NASDAQ,25000000,10,2500000,HTBX,-0.065,-0.05100006,0.01000008,0.09300003
"JONES ENERGY, INC.",2013-07-24,New York Stock Exchange,187500000,15,12500000,JONE,-0.031339031,0.002849003,-0.007122507,0.210826211
CONATUS PHARMACEUTICALS INC.,2013-07-25,NASDAQ,66000000,11,6000000,CNAT,-0.161818182,-0.165454545,-0.171818182,-0.082727273
"ONCONOVA THERAPEUTICS, INC.",2013-07-25,NASDAQ,77500005,15,5166667,ONTX,-0.2,-0.12,0.004,-0.122400024
CONTROL4 CORP,2013-08-02,NASDAQ,64000000,16,4000000,CTRL,0.059358179,0.217112234,0.149732559,-0.13315518
MARRONE BIO INNOVATIONS INC,2013-08-02,NASDAQ,57000000,12,4750000,MBII,0.076923077,0.018461538,0.016153846,0.400000077
FOX FACTORY HOLDING CORP,2013-08-08,NASDAQ,128571435,15,8571429,FOXF,0.033888944,-0.048333389,-0.011111167,-0.031111056
MIX TELEMATICS LTD,2013-08-09,New York Stock Exchange,100737568,16,6296098,MIXT,-0.13500005,-0.2555,-0.2285,-0.351
CHINA COMMERCIAL CREDIT INC,2013-08-13,NASDAQ,8905000,6.5,1370000,CCCR,0.083333333,0.516666667,0.611666667,0.69
"ENVISION HEALTHCARE HOLDINGS, INC.",2013-08-14,New York Stock Exchange,966000000,23,42000000,EVHC,-0.01267327,-0.004752509,0.121980202,0.154059388
THIRD POINT REINSURANCE LTD.,2013-08-15,New York Stock Exchange,275666075,12.5,22053286,TPRE,0.06122449,0.08244898,0.081632653,0.287346939
"BENEFITFOCUS,INC.",2013-09-18,NASDAQ,130777500,26.5,4935000,BNFT,0.255294071,0.138352965,0.129176518,0.113882353
FIVE PRIME THERAPEUTICS INC,2013-09-18,NASDAQ,62400000,13,4800000,FPRX,-0.184375,-0.146875,-0.13125,-0.123125
"CONTROLADORA VUELA COMPANIA DE AVIACION, S.A.B. DE C.V.",2013-09-18,New York Stock Exchange,271762800,12,22646900,VLRS,0.097178683,0.157523511,0.103448276,0.195924765
"FIREEYE, INC.",2013-09-20,NASDAQ,303500000,20,15175000,FEYE,-0.125310152,0.034243202,0.057071937,-0.044664989
"FOUNDATION MEDICINE, INC.",2013-09-25,NASDAQ,105999984,18,5888888,FMI,0.09873019,0.200317492,-0.020634921,-0.226984127
OPHTHOTECH CORP.,2013-09-25,NASDAQ,167200000,22,7600000,OPHT,0.131830058,0.279271521,0.457935839,0.374241213
"PREMIER, INC.",2013-09-26,NASDAQ,760102866,27,28151958,PINC,-0.019354839,-0.021290323,-0.000322581,0.229032194
PATTERN ENERGY GROUP INC.,2013-09-27,NASDAQ,352000000,22,16000000,PEGI,-0.03526971,-0.045228216,-0.045643154,0.158091286
RINGCENTRAL INC,2013-09-27,New York Stock Exchange,97500000,13,7500000,RNG,0.042318841,-0.005217391,0.101449275,0.016231942
"EMPIRE STATE REALTY TRUST, INC.",2013-10-02,New York Stock Exchange,929500000,13,71500000,ESRT,0.008429119,0.022988506,0.072796935,0.179310345
"RE/MAX HOLDINGS, INC.",2013-10-02,New York Stock Exchange,220000000,22,10000000,RMAX,0.033523771,0.085714286,0.066666667,0.212952381
CHERRY HILL MORTGAGE INVESTMENT CORP,2013-10-04,New York Stock Exchange,130000000,20,6500000,CHMI,-0.01567573,-0.04972973,-0.027027027,-0.048648649
OCI PARTNERS LP,2013-10-04,New York Stock Exchange,315000000,18,17500000,OCIP,0.07826087,0.105507246,0.278260812,0.612173855
POTBELLY CORP,2013-10-04,NASDAQ,105000000,14,7500000,PBPB,0.114794173,0.017096999,-0.060711793,-0.155617551
"QTS REALTY TRUST, INC.",2013-10-09,New York Stock Exchange,257250000,21,12250000,QTS,-0.057142812,-0.026785759,-0.037946473,0.103124955
MACROGENICS INC,2013-10-10,NASDAQ,80000000,16,5000000,MGNX,0.050000042,0.104166667,0.064999958,0.229166667
PLAINS GP HOLDINGS LP,2013-10-16,New York Stock Exchange,2816000000,22,128000000,PAGP,-0.032967032,-0.054945098,0.004395593,0.173186765
VEEVA SYSTEMS INC,2013-10-16,New York Stock Exchange,260900000,20,13045000,VEEV,-0.022894711,0.117631605,-0.026315789,-0.133947368
VOXELJET AG,2013-10-18,New York Stock Exchange,84500000,13,6500000,VJET,0.67250005,0.7700001,1.91450005,1.05550005
AERIE PHARMACEUTICALS INC,2013-10-25,NASDAQ,67200000,10,6720000,AERI,-0.004739336,-0.004739336,0.154407583,0.916587583
"COMMSCOPE HOLDING COMPANY, INC.",2013-10-25,NASDAQ,576923055,15,38461537,COMM,-0.012,0.029333333,0.011333333,0.212666733
SPRAGUE RESOURCES LP,2013-10-25,New York Stock Exchange,153000000,18,8500000,SRLP,0.025714343,-0.007999943,-0.022857143,0.031428514
BRIXMOR PROPERTY GROUP INC.,2013-10-30,New York Stock Exchange,825000000,20,41250000,BRX,-0.011138015,-0.002421308,-0.027118644,-0.002905569
CRITEO S.A.,2013-10-30,NASDAQ,250559980,31,8082580,CRTO,-0.101190476,-0.18452381,-0.13571431,-0.178095238
"VERACYTE, INC.",2013-10-30,NASDAQ,65000000,13,5000000,VCYT,-0.013076923,-0.064615385,-0.049230769,0.139230769
ESSENT GROUP LTD.,2013-10-31,New York Stock Exchange,335072006,17,19710118,ESNT,-0.027272727,-0.004545455,0.000909091,0.118636409
"MARCUS & MILLICHAP, INC.",2013-10-31,New York Stock Exchange,72000000,12,6000000,MMI,0.014925373,0.044776119,0.044029851,0.150746269
58.COM INC.,2013-10-31,New York Stock Exchange,187000000,17,11000000,WUBA,0.183962208,0.245754658,0.603773509,0.775471567
"CONTAINER STORE GROUP, INC.",2013-11-01,New York Stock Exchange,225000000,18,12500000,TCS,0.051428543,0.0085714,0.188571371,0.022571457
BLUE CAPITAL REINSURANCE HOLDINGS LTD.,2013-11-06,New York Stock Exchange,125000000,20,6250000,BCRH,-0.028277685,-0.011311105,-0.035989767,-0.149614388
KARYOPHARM THERAPEUTICS INC.,2013-11-06,NASDAQ,108800000,16,6800000,KPTI,-0.104143387,-0.104143387,-0.097984317,0.909854372
WIX.COM LTD.,2013-11-06,NASDAQ,127050000,16.5,7700000,WIX,-0.100540595,-0.055135135,0.211351351,0.461621676
"TWITTER, INC.",2013-11-07,New York Stock Exchange,1820000000,26,70000000,TWTR,0.018403593,-0.061197298,0.014412462,0.48913541
"CHEGG, INC",2013-11-13,New York Stock Exchange,187500000,12.5,15000000,CHGG,-0.109090909,-0.21,-0.226363636,-0.343636364
DYNAGAS LNG PARTNERS LP,2013-11-13,NASDAQ,225000000,18,12500000,DLNG,0.047058765,0.058823529,0.128235294,0.282941118
EROS INTERNATIONAL PLC,2013-11-13,New York Stock Exchange,55000000,11,5000000,EROS,-0.01981982,-0.009009009,-0.027027027,-0.048648649
"ESH HOSPITALITY, INC.",2013-11-13,New York Stock Exchange,565000000,20,28250000,STAY,0.057582374,0.043956044,0.08571433,0.122637407
HOUGHTON MIFFLIN HARCOURT CO,2013-11-14,NASDAQ,219000000,12,18250000,HMHC,0.128571429,0.285,0.167142857,0.362142857
OXFORD IMMUNOTEC GLOBAL PLC,2013-11-22,NASDAQ,64320000,12,5360000,OXFD,0.077857143,0.125,0.411428571,0.714285714
VINCE HOLDING CORP.,2013-11-22,New York Stock Exchange,200000000,20,10000000,VNCE,-0.034576312,-0.003389831,0.030508475,-0.113559322
500.COM LTD,2013-11-22,New York Stock Exchange,75218000,13,5786000,WBAI,-0.00950005,0.02749995,0.51099995,1.4
VALERO ENERGY PARTNERS LP,2013-12-11,New York Stock Exchange,345000000,23,15000000,VLP,-0.008849558,0.039999965,0.162477876,0.398938053
ARAMARK,2013-12-12,New York Stock Exchange,725000000,20,36250000,ARMK,0.135802469,0.17580242,0.217283951,0.416296296
